geoid10,poi_cat_automotive,poi_cat_civic_community,poi_cat_education,poi_cat_entertainment,poi_cat_finance,poi_cat_food_drink,poi_cat_grocery,poi_cat_health,poi_cat_leisure_sports,poi_cat_lodging,poi_cat_nightlife,poi_cat_services,poi_cat_shopping,poi_cat_transport
17031301701,0,4,1,0,1,2,2,0,1,0,0,0,2,0
17031301702,0,1,2,1,0,1,1,0,0,0,0,0,0,2
17031301801,0,3,3,1,0,1,0,0,0,0,0,1,1,1
17031301802,0,3,1,0,1,2,3,1,0,0,1,0,1,1
17031301803,0,3,3,0,0,1,0,0,0,0,0,0,0,1
17031310200,0,2,1,5,0,1,1,0,0,0,4,0,1,2
17031310300,0,0,2,1,1,6,0,2,0,0,1,3,2,1
17031310400,0,0,1,0,0,2,0,0,0,0,2,1,1,1
17031310500,0,0,0,1,0,6,1,0,0,0,0,0,0,1
17031310600,0,4,6,5,2,27,6,1,0,0,6,2,13,3
17031310700,0,1,1,13,0,7,2,1,0,0,0,1,0,0
17031310800,1,3,3,2,4,15,5,2,0,0,1,3,5,3
17031310900,0,3,3,2,0,4,0,0,1,0,1,0,0,1
17031320100,0,4,5,27,6,89,9,13,8,17,15,4,35,18
17031320400,0,9,7,64,8,76,5,4,0,6,6,7,22,9
17031320600,0,1,4,10,4,37,5,2,0,7,3,11,6,5
17031330100,4,14,5,46,3,44,8,9,0,3,10,14,5,15
17031330200,1,1,3,5,2,6,1,0,1,0,0,0,0,1
17031340300,0,1,1,0,0,2,0,0,0,0,0,0,0,2
17031340400,0,3,2,0,0,6,2,0,1,0,0,2,0,0
17031340500,0,1,1,0,0,1,2,0,0,0,3,2,0,2
